course,outcome,relativeFolder,fileName,extension,dropboxPath,previewUrl,status
02_PHP,_old,_old/1st,phpoop.png,.png,/junsan-info/02_PHP/02_docs/_old/1st/phpoop.png,https://www.dropbox.com/scl/fi/8n55o7sogvy12x17efi6c/phpoop.png?rlkey=2i3fp1ssrqgt84sejr2xmhrvv&dl=0,ok
02_PHP,_old,_old,Quiz.pptx,.pptx,/junsan-info/02_PHP/02_docs/_old/Quiz.pptx,https://www.dropbox.com/scl/fi/ft63bfj5pmxgi1dys910d/Quiz.pptx?rlkey=vje6nwk1zexkxnr3p0czvv19c&dl=0,ok
02_PHP,_old,_old/4_Build a web app using MVC Framework (LARAVEL),setumei.pptx,.pptx,/junsan-info/02_PHP/02_docs/_old/4_Build a web app using MVC Framework (LARAVEL)/setumei.pptx,https://www.dropbox.com/scl/fi/wyvjgxyohqafhfem39sak/setumei.pptx?rlkey=ookiooizhr5oppf1mcoodl27l&dl=0,ok
02_PHP,_old,_old/1st,summary.pptx,.pptx,/junsan-info/02_PHP/02_docs/_old/1st/summary.pptx,https://www.dropbox.com/scl/fi/e96lnnuo9mhrw59kpjenp/summary.pptx?rlkey=4km6f94r4nn0lg2fiov5cftzf&dl=0,ok
02_PHP,outcome1 Apply  PHP fundamentals,outcome1 Apply  PHP fundamentals,1_Definition of key terms.pptx,.pptx,/junsan-info/02_PHP/02_docs/outcome1 Apply  PHP fundamentals/1_Definition of key terms.pptx,https://www.dropbox.com/scl/fi/by3qhd0mvqf0plyuymhm0/1_Definition-of-key-terms.pptx?rlkey=wt5pm1d2u1k0rv4ug5k3a3nto&dl=0,ok
02_PHP,outcome1 Apply  PHP fundamentals,outcome1 Apply  PHP fundamentals,2_Installation of XAMPP.pptx,.pptx,/junsan-info/02_PHP/02_docs/outcome1 Apply  PHP fundamentals/2_Installation of XAMPP.pptx,https://www.dropbox.com/scl/fi/3gmahip2la3fzx87sm9jy/2_Installation-of-XAMPP.pptx?rlkey=2ukni8s76d1wsobnezdyc7vwh&dl=0,ok
02_PHP,outcome1 Apply  PHP fundamentals,outcome1 Apply  PHP fundamentals,3_Application of PHP concepts.pptx,.pptx,/junsan-info/02_PHP/02_docs/outcome1 Apply  PHP fundamentals/3_Application of PHP concepts.pptx,https://www.dropbox.com/scl/fi/u8wprx659jo7r56nh1juq/3_Application-of-PHP-concepts.pptx?rlkey=bqxtj8rxh2z0k57c6pkefky6g&dl=0,ok
02_PHP,outcome1 Apply  PHP fundamentals,outcome1 Apply  PHP fundamentals,4_Application of PHP concepts  2.pptx,.pptx,/junsan-info/02_PHP/02_docs/outcome1 Apply  PHP fundamentals/4_Application of PHP concepts  2.pptx,https://www.dropbox.com/scl/fi/3kcmh7g81fisi05z53c44/4_Application-of-PHP-concepts-2.pptx?rlkey=6pevnkcjw6f9yu1wgbuo3fr0t&dl=0,ok
02_PHP,outcome1 Apply  PHP fundamentals,outcome1 Apply  PHP fundamentals,5_Function.pptx,.pptx,/junsan-info/02_PHP/02_docs/outcome1 Apply  PHP fundamentals/5_Function.pptx,https://www.dropbox.com/scl/fi/4utzsvnts013nc3m46arj/5_Function.pptx?rlkey=6i6jxxo9zng9n6tmkuypiine8&dl=0,ok
02_PHP,outcome1 Apply  PHP fundamentals,outcome1 Apply  PHP fundamentals,6_PHP file handling.pptx,.pptx,/junsan-info/02_PHP/02_docs/outcome1 Apply  PHP fundamentals/6_PHP file handling.pptx,https://www.dropbox.com/scl/fi/0g09sf5f703hlnmz237re/6_PHP-file-handling.pptx?rlkey=q8dc4l9gk1wh43uqm92f7pvmg&dl=0,ok
02_PHP,outcome1 Apply  PHP fundamentals,outcome1 Apply  PHP fundamentals,7_Form Submission.pptx,.pptx,/junsan-info/02_PHP/02_docs/outcome1 Apply  PHP fundamentals/7_Form Submission.pptx,https://www.dropbox.com/scl/fi/zpmf4ccugn870r6xdksbu/7_Form-Submission.pptx?rlkey=y9gcc2jvwzoolh1h6z469bfva&dl=0,ok
02_PHP,outcome1 Apply  PHP fundamentals,outcome1 Apply  PHP fundamentals,8_Cookies and Sessions.pptx,.pptx,/junsan-info/02_PHP/02_docs/outcome1 Apply  PHP fundamentals/8_Cookies and Sessions.pptx,https://www.dropbox.com/scl/fi/ip390uve1uojss49a3au1/8_Cookies-and-Sessions.pptx?rlkey=6pz18stcklxpnnosl95x9wd0o&dl=0,ok
02_PHP,outcome1 Apply  PHP fundamentals,outcome1 Apply  PHP fundamentals,9_Implementation of Object-oriented programming (OOP) in PHP.pptx,.pptx,/junsan-info/02_PHP/02_docs/outcome1 Apply  PHP fundamentals/9_Implementation of Object-oriented programming (OOP) in PHP.pptx,https://www.dropbox.com/scl/fi/a38wxnp9ch9tjgmvbw830/9_Implementation-of-Object-oriented-programming-OOP-in-PHP.pptx?rlkey=7o1u7fh5equo9sp6fijyi8qfc&dl=0,ok
02_PHP,outcome1 Apply  PHP fundamentals,outcome1 Apply  PHP fundamentals,MiniProject.pptx,.pptx,/junsan-info/02_PHP/02_docs/outcome1 Apply  PHP fundamentals/MiniProject.pptx,https://www.dropbox.com/scl/fi/kz9m3lrpd8ab0thlg25wc/MiniProject.pptx?rlkey=8jkt7srsei8vpgibvnc7gl8iu&dl=0,ok
02_PHP,outcome2 Connect PHP to the database,outcome2 Connect PHP to the database,1_Use of MySQL.pptx,.pptx,/junsan-info/02_PHP/02_docs/outcome2 Connect PHP to the database/1_Use of MySQL.pptx,https://www.dropbox.com/scl/fi/fmpmj67mq18q27qvod02j/1_Use-of-MySQL.pptx?rlkey=j1tla4ibtzbc9pc1kixeaztfz&dl=0,ok
02_PHP,outcome2 Connect PHP to the database,outcome2 Connect PHP to the database,2_Application of Database Connection drives.pptx,.pptx,/junsan-info/02_PHP/02_docs/outcome2 Connect PHP to the database/2_Application of Database Connection drives.pptx,https://www.dropbox.com/scl/fi/k1zid9oad94v6w6v0f59i/2_Application-of-Database-Connection-drives.pptx?rlkey=ioeaw568ty1jw9q8awfhykvmb&dl=0,ok
02_PHP,outcome2 Connect PHP to the database,outcome2 Connect PHP to the database,2.1_Import and Export Data.pptx,.pptx,/junsan-info/02_PHP/02_docs/outcome2 Connect PHP to the database/2.1_Import and Export Data.pptx,https://www.dropbox.com/scl/fi/02izc03t8j2yxklfmnl00/2.1_Import-and-Export-Data.pptx?rlkey=cxkrfrqv7d0lffdwujyq8u43h&dl=0,ok
02_PHP,outcome2 Connect PHP to the database,outcome2 Connect PHP to the database,2.2_Database CRUD Operations .pptx,.pptx,/junsan-info/02_PHP/02_docs/outcome2 Connect PHP to the database/2.2_Database CRUD Operations .pptx,https://www.dropbox.com/scl/fi/85pkqoys5cojfxk567rc1/2.2_Database-CRUD-Operations.pptx?rlkey=c3tmldbtdy69gfy2rvi07ut0y&dl=0,ok
02_PHP,outcome2 Connect PHP to the database,outcome2 Connect PHP to the database,3_ Application of PHP Basic Security Concepts.pptx,.pptx,/junsan-info/02_PHP/02_docs/outcome2 Connect PHP to the database/3_ Application of PHP Basic Security Concepts.pptx,https://www.dropbox.com/scl/fi/01k3bt5wn07zy147d65z7/3_-Application-of-PHP-Basic-Security-Concepts.pptx?rlkey=1gtsqgqo6ri91gpvu2mnotdy0&dl=0,ok
02_PHP,outcome2 Connect PHP to the database,outcome2 Connect PHP to the database,4_ Errors and Exceptions in PHP.pptx,.pptx,/junsan-info/02_PHP/02_docs/outcome2 Connect PHP to the database/4_ Errors and Exceptions in PHP.pptx,https://www.dropbox.com/scl/fi/440yz1s4ak9t8d5eijtw5/4_-Errors-and-Exceptions-in-PHP.pptx?rlkey=nzst2ymh9s2v4pxcq17mqakie&dl=0,ok
02_PHP,outcome2 Connect PHP to the database,outcome2 Connect PHP to the database,5_Implementation of User Authentication - Copy.pptx,.pptx,/junsan-info/02_PHP/02_docs/outcome2 Connect PHP to the database/5_Implementation of User Authentication - Copy.pptx,https://www.dropbox.com/scl/fi/1qoe9p2odbgpjyzaaaya7/5_Implementation-of-User-Authentication-Copy.pptx?rlkey=00728ex0ei357ct0d9nkhf76z&dl=0,ok
02_PHP,outcome2 Connect PHP to the database,outcome2 Connect PHP to the database,5_Implementation of User Authentication.pptx,.pptx,/junsan-info/02_PHP/02_docs/outcome2 Connect PHP to the database/5_Implementation of User Authentication.pptx,https://www.dropbox.com/scl/fi/u0gh28mt8ynnkcxuakqn4/5_Implementation-of-User-Authentication.pptx?rlkey=bqaa4v8si5qp79dt8u5elecnr&dl=0,ok
02_PHP,outcome3 Build a CMS using PHP,outcome3 Build a CMS using PHP,1_CMS Introduction.pptx,.pptx,/junsan-info/02_PHP/02_docs/outcome3 Build a CMS using PHP/1_CMS Introduction.pptx,https://www.dropbox.com/scl/fi/w3nq15dkaqjz5gwy7urwv/1_CMS-Introduction.pptx?rlkey=u10xomz3z1grquowmfk7nl3up&dl=0,ok
02_PHP,outcome3 Build a CMS using PHP,outcome3 Build a CMS using PHP/_old,1_Preparation of Content Management System (CMS) - Copy - Copy.pptx,.pptx,/junsan-info/02_PHP/02_docs/outcome3 Build a CMS using PHP/_old/1_Preparation of Content Management System (CMS) - Copy - Copy.pptx,https://www.dropbox.com/scl/fi/y4q5wwtctz4u9vepptxnl/1_Preparation-of-Content-Management-System-CMS-Copy-Copy.pptx?rlkey=uim7muv3hafl0zsd7yxapo736&dl=0,ok
02_PHP,outcome3 Build a CMS using PHP,outcome3 Build a CMS using PHP/_old,1_Preparation of Content Management System (CMS) - Copy.pptx,.pptx,/junsan-info/02_PHP/02_docs/outcome3 Build a CMS using PHP/_old/1_Preparation of Content Management System (CMS) - Copy.pptx,https://www.dropbox.com/scl/fi/xfa2n9u8bqlsiquhvqk9f/1_Preparation-of-Content-Management-System-CMS-Copy.pptx?rlkey=ef07mr6m6usr1tk2szh3owd4g&dl=0,ok
02_PHP,outcome3 Build a CMS using PHP,outcome3 Build a CMS using PHP,2_Installing WordPress.pptx,.pptx,/junsan-info/02_PHP/02_docs/outcome3 Build a CMS using PHP/2_Installing WordPress.pptx,https://www.dropbox.com/scl/fi/3e9t0zycvqg6cc3o7ehdj/2_Installing-WordPress.pptx?rlkey=6v52cppyniq75madckd99hepo&dl=0,ok
